RateRatio,CPIRatio,GDPRatio,PMIRatio,UnemployRatio,US-M2,Gold/Euro,US International Trade,NASDAQ,US TREASURY EURODOLLAR SPREAD,Crude Oil Future,Baltic Dry Index,Copper Future,Housing Starts,FTSE EUROTOP 100 index,Date,lagSpot
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.55343375,-0.047744239,0.999492546,-0.549845523,-1.074697414,0.498314183,0.174606905,1.318198078,0.37985389,2021/12/6,1.1267
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.545051252,-0.047744239,0.900542177,-0.541645045,-1.276266736,0.431720337,-0.018469545,1.318198078,0.214866312,2021/12/3,1.1288
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.656432481,-0.047744239,1.110123139,-0.654136305,-1.261289448,0.373450722,0.070537329,1.318198078,0.267720178,2021/12/2,1.1317
-0.473819268,0.073366003,-1.247386594,2.398384089,-0.072858824,0.553761952,-0.571547652,-0.047744239,1.019965525,-0.566439431,-1.319326436,0.302694761,-0.070504333,1.318198078,0.462137021,2021/12/1,1.1303
-0.552073684,0.363222342,-1.247386594,-0.228098604,0.061372134,0.007209599,-0.648339035,0.036255784,1.220897539,-0.655969353,-1.281259165,0.272519424,0.013025195,0.754226735,0.201764565,2021/11/30,1.1321
-0.552073684,0.363222342,-1.247386594,-0.228098604,0.061372134,0.007209599,-0.506125633,0.036255784,1.394558694,-0.506624181,-1.045990947,0.129966973,0.174606905,0.754226735,0.281096621,2021/11/29,1.1339
-0.552073684,0.363222342,-1.247386594,-0.228098604,0.061372134,0.007209599,-0.483001502,0.036255784,1.188286705,-0.478260175,-1.1583206,0.011346686,0.022610551,0.754226735,0.213966105,2021/11/26,1.1294
-0.552073684,0.363222342,-1.247386594,-0.228098604,0.061372134,0.007209599,-0.344064018,0.036255784,1.438757659,-0.343579387,-0.519289685,-0.106233073,0.505986343,0.754226735,0.650192785,2021/11/24,1.1321
-0.552073684,0.363222342,-1.247386594,-0.228098604,0.061372134,0.007209599,-0.40996779,0.036255784,1.38910679,-0.409472638,-0.512425095,-0.042760814,0.411502123,0.754226735,0.630682926,2021/11/23,1.1201
-0.552073684,0.363222342,-1.247386594,-0.228098604,0.061372134,0.007209599,-0.258890138,0.036255784,1.445509492,-0.259162704,-0.62163448,-0.115597833,0.334819278,0.754226735,0.763713911,2021/11/22,1.125
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,0.012914746,0.036255784,1.589089537,0.018688778,-0.662197966,-0.212367015,0.370422028,0.754226735,0.86052866,2021/11/19,1.1238
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,0.016576066,0.036255784,1.543944848,0.017531064,-0.48059836,-0.314338841,0.100662732,0.754226735,1.020241985,2021/11/18,1.129
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,0.157633262,0.036255784,1.492841035,0.163788997,-0.521161846,-0.339311533,-0.00066817,0.754226735,1.04531525,2021/11/17,1.1373
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,0.014649055,0.036255784,1.529879416,0.01560154,-0.371388975,-0.17178639,0.233488375,0.754226735,1.008464806,2021/11/16,1.132
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,0.050684159,0.036255784,1.444864133,0.051780118,-0.363900332,0.003022455,0.366314018,0.754226735,1.027176212,2021/11/15,1.1323
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-0.047882447,0.036255784,1.449902327,-0.047107996,-0.369516814,0.052967839,0.499139661,0.754226735,1.077413015,2021/11/12,1.1371
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-0.068019711,0.036255784,1.338911155,-0.066982095,-0.319592524,0.091467406,0.359467335,0.754226735,1.050294724,2021/11/11,1.1454
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-0.214568888,0.036255784,1.281122099,-0.214397743,-0.335193865,0.109156397,0.149958847,0.754226735,1.035579285,2021/11/10,1.1452
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-0.510557758,0.036255784,1.468026935,-0.510579705,-0.159834796,0.050886782,0.292369846,0.754226735,1.138978531,2021/11/9,1.1482
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-0.570102394,0.036255784,1.535902297,-0.568947812,-0.298374701,-0.039639228,0.360836672,0.754226735,1.163247648,2021/11/8,1.1595
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-0.59255207,0.036255784,1.528273456,-0.589786673,-0.33956224,-0.042760814,0.207470981,0.754226735,1.14465742,2021/11/5,1.159
-0.552073684,0.363222342,1.246208584,-0.228098604,0.061372134,0.007209599,-0.797393326,0.036255784,1.506114467,-0.796824618,-0.493079433,0.013427743,0.144481501,0.754226735,1.105851308,2021/11/4,1.1569
